Mã tin,Ngày,Tháng,Năm,Kinh độ,Vĩ độ,Phường,Quận,Thành phố,Mức giá,Diện tích,Mặt tiền,Hướng nhà,Số tầng,Số toilet,Đường vào,Hướng ban công,Số phòng ngủ,Pháp lý,Nội thất,Loại
39526274,17.0,10.0,2024.0,10.841416666666667,106.84011111111111,Long Thạnh Mỹ,9,Hồ Chí Minh,1.4,30.0,,Tây - Nam,,1.0,,Đông,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư
41299064,23.0,10.0,2024.0,10.841416666666667,106.84011111111111,Long Thạnh Mỹ,9,Hồ Chí Minh,2.2,59.0,,,,1.0,,,2.0,Sổ đỏ/ Sổ hồng,,Chung cư
41216787,15.0,10.0,2024.0,16.088388888888886,108.22888888888889,Nại Hiên Đông,Sơn Trà,Đà Nẵng,,56.0,,Tây - Nam,,1.0,,Tây - Nam,1.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư
41054141,27.0,10.0,2024.0,20.942444444444444,105.95530555555555,Long Hưng,Văn Giang,Hưng Yên,16.2,120.0,8.0,Tây - Bắc,,,,,,Sổ đỏ/ Sổ hồng,,Nhà đất
41210840,27.0,10.0,2024.0,20.941472222222224,105.95691666666667,Nghĩa Trụ,Văn Giang,Hưng Yên,35.5,153.0,9.0,,,,20.0,,,Hợp đồng mua bán,,Nhà đất
41332417,27.0,10.0,2024.0,10.784416666666667,106.64186111111111,10,Tân Bình,Hồ Chí Minh,3.9,35.0,,Nam,3.0,3.0,,,4.0,Sổ đỏ/ Sổ hồng,,Nhà đất
41333999,27.0,10.0,2024.0,10.803527777777779,106.74625,Thảo Điền,2,Hồ Chí Minh,28.0,157.0,,,1.0,,,,,Đang chờ sổ,Cơ bản,Nhà đất
40465470,22.0,10.0,2024.0,21.002416666666665,105.96411111111111,Dương Xá,Gia Lâm,Hà Nội,61.0,288.0,16.1,Đông - Nam,,,,,,Sổ đỏ/ Sổ hồng,,Nhà đất
40813376,19.0,10.0,2024.0,21.002416666666665,105.96411111111111,Dương Xá,Gia Lâm,Hà Nội,23.0,142.0,,Đông - Nam,4.0,,,,,Sổ đỏ/ Sổ hồng,Full nội thất.,Nhà đất
41336850,27.0,10.0,2024.0,20.972416666666664,105.76152777777777,La Khê,Hà Đông,Hà Nội,17.5,82.5,5.0,Đông - Nam,4.0,4.0,115.0,,4.0,Sổ đỏ/ Sổ hồng,Cơ bản,Nhà đất
41336687,27.0,10.0,2024.0,21.05611111111111,105.71633333333334,Di Trạch,Hoài Đức,Hà Nội,13.0,100.0,7.5,,,,30.0,,,,,Nhà đất
41323177,25.0,10.0,2024.0,20.950305555555556,105.98538888888889,Nghĩa Trụ,Văn Giang,Hưng Yên,10.0,70.0,5.0,Đông - Nam,5.0,,15.0,,,Sổ đỏ/ Sổ hồng,,Nhà đất
41336032,27.0,10.0,2024.0,10.795361111111111,106.67569444444445,11,Phú Nhuận,Hồ Chí Minh,34.0,90.2,7.8,,7.0,,4.5,,,Có sổ.,,Nhà đất
41293521,23.0,10.0,2024.0,21.001083333333334,105.96672222222223,Dương Xá,Gia Lâm,Hà Nội,24.0,142.0,8.3,Đông - Nam,,,,Đông - Nam,,Sổ đỏ/ Sổ hồng,,Nhà đất
41335838,27.0,10.0,2024.0,20.968194444444443,105.755,Dương Nội,Hà Đông,Hà Nội,26.0,144.0,6.0,,5.0,,26.0,,,Sổ đỏ/ Sổ hồng,,Nhà đất
41335670,27.0,10.0,2024.0,10.797583333333334,106.68438888888889,2,Phú Nhuận,Hồ Chí Minh,5.95,36.0,,,4.0,3.0,4.0,,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nhà đất
40315272,27.0,10.0,2024.0,10.801916666666667,106.76475,An Phú,2,Hồ Chí Minh,32.5,95.0,14.0,Đông - Nam,5.0,4.0,14.0,Đông - Nam,4.0,Sổ đỏ/ Sổ hồng,Không nội thất,Nhà đất
40778288,27.0,10.0,2024.0,21.05966666666667,105.80408333333332,Xuân La,Tây Hồ,Hà Nội,,320.0,,,,,,,,,,Nhà đất
41283950,22.0,10.0,2024.0,20.941472222222224,105.95691666666667,Nghĩa Trụ,Văn Giang,Hưng Yên,7.95,70.0,5.0,Tây - Bắc,5.0,5.0,20.0,Đông - Nam,6.0,Sổ đỏ/ Sổ hồng,Cơ bản,Nhà đất
41335277,27.0,10.0,2024.0,10.838750000000001,106.64850000000001,8,Gò Vấp,Hồ Chí Minh,8.29,50.0,,,3.0,4.0,,,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Nhà đất
41327912,26.0,10.0,2024.0,20.941472222222224,105.95691666666667,Nghĩa Trụ,Văn Giang,Hưng Yên,8.0,70.0,,,5.0,,,,,Hợp đồng mua bán,,Nhà đất
35591737,27.0,10.0,2024.0,10.806000000000001,106.79002777777778,Phú Hữu,9,Hồ Chí Minh,11.49,102.0,5.0,Tây,,,,,,,,Nhà đất
41334696,27.0,10.0,2024.0,20.95011111111111,105.98555555555555,Nghĩa Trụ,Văn Giang,Hưng Yên,8.0,70.0,5.0,,,,,,,,,Nhà đất
24302131,27.0,10.0,2024.0,10.804111111111112,106.78577777777778,Phước Long B,9,Hồ Chí Minh,19.934199999999997,293.15,14.3,Đông - Nam,,,16.0,,,,,Đất nền
41191311,27.0,10.0,2024.0,12.214138888888888,109.20991666666667,Vĩnh Nguyên,Nha Trang,Khánh Hòa,4.5,90.0,,,,,,,,Đầy đủ,,Đất nền
41330102,26.0,10.0,2024.0,21.2745,105.84769444444444,Phù Linh,Sóc Sơn,Hà Nội,8.88,618.0,30.0,,,,4.5,,,Sổ đỏ/ Sổ hồng,,Đất nền
41255373,26.0,10.0,2024.0,21.003194444444443,107.39672222222222,Đông Xá,Vân Đồn,Quảng Ninh,3.325,87.5,5.0,Tây - Bắc,,,17.5,,,Sổ đỏ/ Sổ hồng,,Đất nền
41321567,25.0,10.0,2024.0,21.042416666666668,105.54183333333333,Bình Yên,Thạch Thất,Hà Nội,3.6975,145.0,5.0,Đông,,,8.0,,,Sổ đỏ/ Sổ hồng,,Đất nền
41319779,25.0,10.0,2024.0,11.633305555555555,107.77894444444445,Lộc Quảng,Bảo Lâm,Lâm Đồng,1.58,317.0,8.0,,,,,,,Sổ đỏ/ Sổ hồng,,Đất nền
41294393,25.0,10.0,2024.0,10.856305555555554,106.75202777777778,Linh Tây,Thủ Đức,Hồ Chí Minh,20.0,306.0,,,,,,,,Có sổ,,Đất nền
41314898,25.0,10.0,2024.0,20.929222222222222,105.59322222222222,Đông Yên,Quốc Oai,Hà Nội,2.9,341.1,40.0,,,,,,,Sổ đỏ,,Đất nền
41134985,23.0,10.0,2024.0,10.632777777777779,106.97127777777779,Phước An,Nhơn Trạch,Đồng Nai,1.0,100.0,10.0,,,,53.0,,,Sổ đỏ/Sổ hồng,,Đất nền
